URL,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst/52260755?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,Birmingham
https://www.reed.co.uk/jobs/data-analyst/52138229?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst,"£23,000 - £24,000 per annum",Permanent,full-time,"Whitby, Ellesmere Port"
https://www.reed.co.uk/jobs/data-analyst/52161776?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Kemble
https://www.reed.co.uk/jobs/data-analyst/52191231?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst,"£35,000 - £40,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/50558922?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst,Competitive salary,Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst/52142056?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst,"£28,000 - £34,000 per annum, inc benefits",Permanent,full-time,North Shields
https://www.reed.co.uk/jobs/senior-data-analyst/52130906?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst-nhs/52099180?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst (NHS),"£58,000 - £69,000 per annum",Temporary,full-time,Sparkhill
https://www.reed.co.uk/jobs/financial-data-analyst/52016728?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Financial Data Analyst,"£42,000 - £45,000 per annum",Permanent,full-time,Oldbury
https://www.reed.co.uk/jobs/senior-data-analyst/52171690?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£85,000 - £95,000 per annum, OTE",Permanent,full-time,London
https://www.reed.co.uk/jobs/sql-data-analyst/52157308?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,SQL Data Analyst,£475 - £500 per day,Contract,full-time,South West England
https://www.reed.co.uk/jobs/customer-data-analyst/52263558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Customer Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/customer-data-analyst/52255731?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Customer Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/lead-data-analyst/52072522?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Lead Data Analyst,"£50,000 - £60,000 per annum",Permanent,full-time,Bristol
https://www.reed.co.uk/jobs/senior-data-analyst/52198975?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£41,000 - £41,383 per annum",Permanent,full-time,Brighton
https://www.reed.co.uk/jobs/senior-data-analyst/52020282?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£45,000 - £60,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/senior-data-analyst/52119161?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/senior-data-analyst/51543854?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£60,000 - £70,000 per annum",Permanent,full-time,Milton Keynes
https://www.reed.co.uk/jobs/senior-data-analyst/52151539?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst-insurance/52134197?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data Analyst - Insurance,Salary negotiable,Contract,full-time,City of London
https://www.reed.co.uk/jobs/finance-data-analyst/52036729?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Finance Data Analyst,"£28,000 - £30,000 per annum",Permanent,full-time,Chester
https://www.reed.co.uk/jobs/commercial-data-analyst/52104871?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Commercial Data Analyst,"£45,000 - £60,000 per annum",Permanent,full-time,Farnham
https://www.reed.co.uk/jobs/senior-data-analyst/52065956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£45,000 - £55,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/senior-data-analyst/52022662?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£45,000 - £55,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/commercial-data-analyst/52086431?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Commercial Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Leicester
https://www.reed.co.uk/jobs/senior-data-analyst/52260865?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,Salary negotiable,Permanent,full-time,Nottinghamshire
https://www.reed.co.uk/jobs/senior-data-analyst/52189972?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,"£90,000 - £95,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/graduate-data-analyst/49317217?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Graduate Data Analyst,"£35,000 - £45,000 per annum, OTE, inc benefits, pro-rata, negotiable",Permanent,full-time,City of London
https://www.reed.co.uk/jobs/finance-data-analyst/52158018?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Finance Data Analyst,£300 per day,Contract,full-time,West London
